first_name,last_name,address,mobile,drivers_license,dob,age,home_owner,monthly_income,income_verified,employer,total_session_duration,avg_pages_per_session,bounce_rate_flag,scroll_depth_pct,repeat_visitor_count,device_switching,traffic_paid_pct,traffic_organic_pct,time_outside_hours_pct,time_step1,time_step2,time_step3,inter_step_latency,drop_off_step,form_edits,funnel_revisits,funnel_friction_score,email_open_rate,email_click_through_rate,time_to_first_email_open,sms_bounce_rate,sms_reply_rate,click_to_call_ratio,reply_sentiment_score,opt_out_flag,days_since_last_application,days_since_last_session,days_since_last_email_open,days_since_last_sms_reply,event_recency_bucket,frequency_last_30_days,inverse_recency_weight,recency_frequency_interaction,referral_code_used,geo_behavior_distance,support_chat_activity,credit_check_days_ago,risk_proxy_flag,converted
Donna,Williams,"543 Brandon Groves, Port Johnnyfurt, VT 81237",(850)003-2467x610,ro826357,1967-08-28,57,1,3063.69,1,Rodriguez Inc,158.77,6.61,0,0.12,14,2,0.22,0.78,0.18,16.86,196.17,186.06,67.87,1,1,2,0.23,0.39,0.13,89.92,0.2,0.14,0.7,-0.19,1,42,32,58,52,30–90 days,8,0.023255813953488372,0.18604651162790697,1,21.7,5,51,0,0
Andrea,Gonzalez,"32061 Brandon Lake, New Cristinaville, GA 07052",822-811-8458x3003,TM917969,1982-06-14,42,0,2265.09,0,Nielsen-Alexander,98.15,2.16,0,0.64,8,10,0.09,0.91,0.82,65.64,103.78,75.73,45.82,3,4,2,0.07,0.52,0.07,144.26,0.05,0.54,0.88,0.3,0,101,1,16,34,>90 days,2,0.00980392156862745,0.0196078431372549,1,26.88,5,43,1,0
Nathan,Anderson,"96776 Horton Isle, Lake Sara, OR 88022",+1-598-194-8161x117,ne276639,1971-01-18,54,1,3563.35,0,Warren-Harrington,16.95,9.95,0,0.11,8,7,0.56,0.44,0.87,60.84,210.1,68.27,66.62,completed,4,2,0.1,0.45,0.18,63.22,0.13,0.8,0.93,-0.53,0,165,8,40,52,>90 days,8,0.006024096385542169,0.04819277108433735,1,20.27,10,26,0,1
Kevin,Jones,"609 Amber Ridge Suite 936, New Heather, MN 42710",(632)158-8112x06660,gC486721,1990-08-11,34,0,4726.83,1,Chapman Ltd,52.88,5.69,0,0.44,16,1,0.78,0.22,0.67,20.49,97.91,86.3,46.42,completed,1,1,0.09,0.94,0.3,55.69,0.08,0.45,0.6,0.03,1,116,47,42,60,>90 days,9,0.008547008547008548,0.07692307692307693,1,46.01,9,47,0,0
Nicholas,Rodriguez,"5894 Dickson Gateway Apt. 001, Tonyatown, CA 37078",(138)640-4384x95440,Lc587879,1973-02-10,52,0,3361.68,1,"Holmes, Rojas and Thomas",60.38,2.88,1,0.31,20,6,0.87,0.13,0.74,239.11,98.36,33.47,51.34,2,0,2,0.17,0.69,0.16,175.63,0.13,0.82,0.13,0.72,0,113,56,60,15,>90 days,6,0.008771929824561403,0.05263157894736842,0,46.18,10,23,1,1
Richard,Rivera,"489 Frank Camp, Henryborough, MS 72859",1072510567,ce188326,1963-06-10,61,1,4166.3,0,Thompson Ltd,219.11,2.57,0,0.25,4,7,0.03,0.97,0.21,289.3,169.36,290.09,54.74,completed,5,1,0.31,0.51,0.14,19.91,0.13,0.22,0.62,0.3,0,12,42,15,8,7–30 days,10,0.07692307692307693,0.7692307692307693,0,8.03,1,53,0,0
Andrew,Stephens,"01398 Debra Valley Apt. 582, Warrenmouth, UT 00897",001-098-310-9741x0049,cJ072560,2000-01-26,25,0,2007.69,1,Lopez-Edwards,27.79,1.52,0,0.31,5,9,0.3,0.7,0.18,210.73,28.06,157.73,119.62,completed,2,1,0.81,0.62,0.14,112.68,0.11,0.43,0.13,0.77,0,138,32,51,11,>90 days,2,0.007194244604316547,0.014388489208633094,0,22.76,2,0,1,0
Eric,Rodriguez,"9350 Raymond Parkways, Williamborough, MI 29105",001-799-856-4565x96503,RO827438,1995-12-06,29,0,2589.07,1,Smith-Guerrero,32.82,8.45,0,0.11,1,2,0.02,0.98,0.31,230.48,49.76,165.24,29.75,2,0,1,0.01,0.24,0.12,144.48,0.19,0.49,0.11,0.1,1,134,14,47,4,>90 days,8,0.007407407407407408,0.05925925925925926,1,22.99,5,32,0,0
Erica,Webb,"699 Adams Lakes Suite 259, Goodmantown, KY 99155",+1-266-364-8807,TT374699,1983-03-14,42,0,2825.69,0,Baker-Pierce,16.57,7.64,0,0.35,17,4,0.89,0.11,0.86,238.2,101.47,209.56,55.32,3,5,0,0.25,0.84,0.1,162.42,0.09,0.64,0.66,0.79,0,122,51,27,43,>90 days,2,0.008130081300813009,0.016260162601626018,1,32.02,7,4,0,1
Jerry,Hayes,"459 Thompson Place Apt. 293, East Nicolehaven, OK 64440",(711)057-6006,Tx819766,1965-01-12,60,0,723.63,0,Ortega-Dominguez,29.07,2.35,0,0.31,5,4,0.72,0.28,0.16,30.66,13.51,287.39,89.81,2,3,2,0.35,0.3,0.07,139.66,0.13,0.19,0.17,-0.8,1,129,77,27,6,>90 days,2,0.007692307692307693,0.015384615384615385,0,33.18,6,28,0,0
Nicholas,Tran,"7635 Walker Terrace, North Benjamin, GA 37159",(940)395-4673x325,nL346757,2002-02-24,23,1,3090.04,1,Hanna-Sanchez,25.42,1.74,1,0.34,14,1,0.21,0.79,0.2,188.35,234.64,196.73,65.98,2,3,2,0.04,0.97,0.41,53.42,0.2,0.6,0.58,0.5,1,95,19,43,59,>90 days,8,0.010416666666666666,0.08333333333333333,0,40.68,1,53,0,1
Jason,King,"243 Nicholas Stream, Ericmouth, GA 25533",465-714-6540x418,xB069024,1974-08-23,50,0,4311.16,1,Roberts Inc,23.69,9.35,0,0.54,5,8,0.94,0.06,0.29,45.24,67.27,267.21,79.27,completed,4,2,0.29,0.82,0.36,152.53,0.18,0.25,0.76,-0.08,0,105,45,55,42,>90 days,7,0.009433962264150943,0.0660377358490566,0,42.18,4,38,1,1
Elizabeth,Hall,"USS Camacho, FPO AP 64366",(562)773-9287,IQ985222,1992-05-01,33,0,1052.12,0,Stark Ltd,92.92,2.6,0,0.39,16,3,0.82,0.18,0.27,156.7,253.8,222.51,67.36,completed,2,2,0.59,0.51,0.11,102.14,0.14,0.87,0.64,0.52,0,71,73,14,51,30–90 days,7,0.013888888888888888,0.09722222222222222,0,8.42,9,59,1,1
Jamie,Bush,"8936 Kline Plaza Apt. 149, Sandersland, NY 10080",(091)043-8271x880,mv524331,1990-03-11,35,1,2914.11,1,Jennings-Hammond,40.91,7.54,1,0.17,11,5,0.56,0.44,0.69,188.64,64.53,113.06,95.14,completed,1,1,0.55,0.01,0.0,7.32,0.15,0.2,0.96,-0.26,1,17,18,47,40,7–30 days,1,0.05555555555555555,0.05555555555555555,0,16.68,8,13,1,0
Renee,Carroll,"512 Shelton Drive, Richardborough, WA 00603",3222329146,bx472925,1967-11-06,57,1,2577.19,0,Adams Ltd,34.39,9.97,0,0.12,12,4,0.39,0.61,0.43,211.73,10.93,189.68,45.88,2,4,0,0.79,0.09,0.03,87.09,0.13,0.06,0.58,0.12,0,39,20,48,39,30–90 days,1,0.025,0.025,0,28.25,4,28,1,0
John,Coleman,"480 Katelyn Squares Suite 579, Diazstad, MI 11070",679.348.3708x7503,vj055645,1990-02-07,35,1,3338.72,1,Tran-Long,143.5,3.43,1,0.3,9,3,0.79,0.21,0.51,137.66,52.76,105.18,54.91,completed,2,3,0.09,0.22,0.07,132.68,0.2,0.93,0.64,-0.16,0,72,86,43,37,30–90 days,8,0.0136986301369863,0.1095890410958904,1,31.99,0,14,1,0
Albert,Parker,"264 Jason Alley Apt. 952, Kellyfurt, GA 68004",921-741-7454x206,so195286,1984-01-19,41,0,2350.73,0,Russell PLC,37.65,8.56,0,0.45,7,4,0.33,0.67,0.12,17.02,251.19,89.19,64.58,1,1,2,0.3,0.94,0.19,77.91,0.17,0.84,0.19,0.61,1,83,15,0,31,30–90 days,7,0.011904761904761904,0.08333333333333333,0,23.18,2,24,0,1
Michael,Mejia,"342 Snyder Club, Clinetown, IN 81904",001-979-646-5580x5322,Je488451,1969-10-02,55,1,3348.64,0,Sanders-Stout,18.13,7.55,0,0.19,13,0,0.61,0.39,0.21,227.9,200.52,287.42,12.93,3,0,3,0.06,0.28,0.06,45.21,0.18,0.25,0.27,0.52,0,80,73,27,36,30–90 days,7,0.012345679012345678,0.08641975308641975,1,22.76,4,7,1,1
Kenneth,Williams,"67415 Lisa Fields Apt. 541, New Nathanshire, GA 17227",+1-264-268-8041x9705,zP652856,1973-12-10,51,1,3778.11,0,Cox-Oconnell,32.27,9.16,0,0.48,20,7,0.02,0.98,0.63,289.38,172.45,281.68,11.01,2,0,3,0.42,0.26,0.1,176.65,0.05,0.65,0.2,0.13,0,62,55,37,25,30–90 days,9,0.015873015873015872,0.14285714285714285,0,23.46,6,55,1,0
Wayne,Juarez,"135 Johns Common Apt. 567, East Deborahmouth, VA 89819",(888)674-3348,lz300861,2005-11-16,19,0,1973.36,1,"Garner, Smith and Estrada",53.16,2.03,0,0.26,6,1,0.52,0.48,0.19,259.44,219.62,29.62,86.4,completed,4,1,0.54,0.08,0.02,87.76,0.03,0.95,0.85,0.34,1,89,82,52,9,30–90 days,4,0.011111111111111112,0.044444444444444446,0,23.38,2,16,0,1
Amy,Mckenzie,"406 Kevin Shoal, Port Brandy, UT 55610",(490)425-6661,II747234,1960-04-18,65,0,2550.42,0,"Powell, Rogers and Jenkins",154.64,1.56,0,0.16,6,10,0.2,0.8,0.31,57.76,105.76,229.46,64.73,3,3,3,0.2,0.88,0.4,156.83,0.05,0.45,0.98,0.54,1,160,40,9,28,>90 days,2,0.006211180124223602,0.012422360248447204,1,1.84,7,40,1,0
Kimberly,Robertson,"81289 Christopher Light, Olsonchester, AR 91746",507-033-6966,VD248176,1962-06-16,62,0,2941.12,1,Jones LLC,47.67,5.85,0,0.11,17,1,0.78,0.22,0.87,69.09,161.77,93.27,96.18,2,3,3,0.58,0.63,0.26,71.88,0.18,0.53,0.16,0.39,0,14,47,53,18,7–30 days,2,0.06666666666666667,0.13333333333333333,0,39.77,9,38,1,1
Jason,Burns,"31547 Lang Cape, Weaverborough, IN 52092",255-320-8365,ee349787,1985-03-11,40,0,3505.42,1,"Willis, Hubbard and Middleton",89.74,3.49,1,0.25,19,10,0.65,0.35,0.22,137.69,188.44,34.2,106.48,1,2,3,0.8,0.51,0.25,75.78,0.2,0.67,0.63,-0.67,0,15,57,6,51,7–30 days,6,0.0625,0.375,0,44.16,8,41,0,1
Kelly,Brown,"966 Thomas Wells, Kaylaland, NY 80406",556.118.1404x96068,GK245113,1980-05-27,44,1,2484.28,1,Moore-Ponce,16.64,6.04,0,0.3,17,8,0.82,0.18,0.53,215.97,101.16,146.64,99.49,1,2,2,0.46,0.36,0.11,149.26,0.07,0.17,0.71,0.65,1,99,52,49,21,>90 days,10,0.01,0.1,0,5.48,10,41,1,1
Dennis,Floyd,"5911 Karen Bypass Suite 762, West Dennis, AR 85268",(362)032-0316x32193,vc608761,1976-02-23,49,0,3596.44,1,"Johnson, Allen and Duarte",31.15,5.05,0,0.36,10,4,0.47,0.53,0.88,193.9,46.62,206.09,42.39,1,2,0,0.69,0.07,0.01,154.18,0.05,0.84,0.28,0.29,0,89,39,41,44,30–90 days,7,0.011111111111111112,0.07777777777777778,0,34.86,9,45,0,1
Andrew,Wright,"Unit 7591 Box 7247, DPO AE 87122",+1-116-165-0139,Qe357871,1989-05-19,36,1,4243.85,1,Gilbert and Sons,6.25,1.3,0,0.22,5,10,0.26,0.74,0.83,204.51,172.53,42.19,56.41,completed,5,3,0.46,0.86,0.27,69.09,0.2,0.11,0.42,-0.92,1,4,46,19,11,<7 days,4,0.2,0.8,1,37.13,7,12,0,0
Harry,English,"833 Ayala Walk, Donaldbury, GA 31104",581-936-8044,AJ081970,1987-09-22,37,0,3667.46,0,Evans-Hernandez,41.89,3.63,1,0.25,10,1,0.87,0.13,0.19,214.07,166.8,37.99,32.82,completed,5,2,0.01,0.47,0.1,108.11,0.06,0.3,0.74,-0.9,0,152,48,9,10,>90 days,3,0.006535947712418301,0.0196078431372549,0,45.19,7,2,1,1
Christina,Rivera,"USCGC Smith, FPO AE 81302",001-146-446-3715x6933,gv033157,2003-08-28,21,0,2473.24,1,"Vazquez, Williams and Taylor",68.49,9.03,0,0.33,20,4,0.58,0.42,0.9,258.15,161.22,28.46,100.61,3,1,1,0.6,0.11,0.02,163.82,0.13,0.83,0.88,0.14,1,120,24,23,43,>90 days,10,0.008264462809917356,0.08264462809917356,1,26.11,7,49,1,0
Kenneth,Brown,"072 Pitts Isle Apt. 569, Mcguireville, AK 04952",+1-289-764-6077x745,Je536209,1966-05-31,58,1,2350.67,0,Munoz-Neal,7.56,7.96,0,0.08,7,9,0.59,0.41,0.66,78.86,158.59,40.23,49.22,1,2,0,0.49,0.65,0.31,108.52,0.15,0.51,0.63,-0.86,1,95,70,59,6,>90 days,9,0.010416666666666666,0.09375,0,13.09,4,5,0,1
Jennifer,Warren,"996 Williams Land, Lake William, IL 75391",(429)712-2673x6064,Mt317247,1969-09-13,55,0,1886.95,1,Brown-Morgan,34.83,2.26,0,0.49,3,3,0.28,0.72,0.27,159.81,11.6,12.22,30.19,3,2,0,0.04,0.11,0.03,144.66,0.11,0.51,0.29,0.86,1,13,50,32,23,7–30 days,4,0.07142857142857142,0.2857142857142857,1,20.15,1,23,0,1
Allison,Eaton,"566 Miller Junction, New Williamhaven, OR 63351",001-007-589-0292x59987,OJ743313,1986-11-24,38,0,3213.2,1,Erickson and Sons,26.16,4.11,0,0.18,5,2,0.13,0.87,0.32,124.43,132.33,129.2,109.38,completed,2,3,0.71,0.61,0.14,148.46,0.19,0.82,0.0,0.27,0,180,60,28,39,>90 days,1,0.0055248618784530384,0.0055248618784530384,0,3.03,0,16,0,0
Amber,Taylor,"7410 Howell Bridge Suite 994, Brownchester, WY 10931",384-394-7613,sP423296,1980-07-19,44,1,4612.22,0,Martinez LLC,93.4,4.45,0,0.16,10,3,0.07,0.93,0.16,112.88,283.1,203.89,83.05,2,0,0,0.36,0.59,0.06,114.86,0.18,0.61,0.87,0.45,0,107,81,50,39,>90 days,8,0.009259259259259259,0.07407407407407407,0,6.47,1,53,1,0
Katie,Lewis,"03547 Ramos Viaduct Suite 986, North Bruceville, NM 36474",001-247-299-6774,BC772844,1992-02-08,33,0,1856.27,0,"Good, Henry and Smith",54.32,4.8,0,0.69,5,4,0.56,0.44,0.37,221.46,199.16,255.23,84.64,3,0,2,0.43,0.67,0.14,55.83,0.16,0.45,0.8,0.64,0,146,53,11,42,>90 days,2,0.006802721088435374,0.013605442176870748,1,42.95,1,33,0,1
Crystal,Jenkins,"27309 Patrick Pine Suite 537, East Dean, NJ 84061",583-743-0215x5897,xN308342,1999-03-13,26,1,2865.69,0,Douglas-Bell,88.44,6.24,0,0.42,13,5,0.17,0.83,0.44,51.35,268.13,110.3,22.76,2,5,0,0.03,0.65,0.23,61.97,0.01,0.41,0.31,0.35,1,17,44,15,46,7–30 days,2,0.05555555555555555,0.1111111111111111,1,30.49,2,2,1,0
Christopher,Burke,"676 Mueller Lakes, North Brittany, AL 50146",084-258-6358x1249,AS204410,1986-03-25,39,0,1765.65,1,Avila-Ward,30.39,5.09,0,0.38,16,10,0.96,0.04,0.41,21.31,18.98,122.52,23.4,1,1,0,0.02,0.76,0.22,52.77,0.18,0.12,0.96,-0.37,1,9,37,12,2,7–30 days,4,0.1,0.4,0,44.48,5,59,1,0
Rebecca,Smith,"7240 Williams Rest, Joelhaven, AR 66071",793.734.0138x60889,Wy435772,1959-07-28,65,1,4173.12,1,"Diaz, Miller and Strong",65.73,3.6,1,0.15,2,10,0.15,0.85,0.54,167.09,230.95,251.76,55.65,1,2,2,0.3,0.26,0.05,11.32,0.07,0.27,0.97,0.12,0,167,42,17,7,>90 days,6,0.005952380952380952,0.03571428571428571,1,17.69,6,47,1,0
Glenn,Sexton,"Unit 6393 Box 7009, DPO AP 90685",498.944.0625,cT475416,1997-08-16,27,1,1927.26,1,Booker-Newton,59.85,6.64,0,0.23,6,7,0.2,0.8,0.42,21.44,147.91,167.48,31.19,3,2,2,0.96,0.91,0.35,96.48,0.17,0.13,0.79,-0.75,0,108,10,27,38,>90 days,3,0.009174311926605505,0.027522935779816515,1,39.81,5,6,0,1
Thomas,Meyers,"28089 Lee Green Suite 748, North Madison, DE 29221",974.600.7533x906,jl219129,1990-10-23,34,1,3621.57,1,Mercer Group,37.01,2.34,0,0.23,15,9,0.38,0.62,0.33,68.93,230.92,122.1,63.8,3,1,3,0.49,0.58,0.26,176.55,0.08,0.83,0.76,0.15,1,114,5,46,55,>90 days,6,0.008695652173913044,0.05217391304347826,1,47.82,4,40,0,1
Erin,Bean,"5710 Matthew Route, Stephanieburgh, KY 17940",(661)760-2171,gY468409,1964-02-20,61,1,2802.66,1,Knight-Farrell,44.37,4.95,1,0.17,17,10,0.93,0.07,0.12,148.28,209.44,219.59,84.64,1,0,1,0.13,0.3,0.07,144.99,0.06,0.21,0.96,-0.98,1,8,16,4,15,7–30 days,6,0.1111111111111111,0.6666666666666666,1,49.89,6,60,0,0
Joseph,Anderson,"939 Best Circle Suite 972, North Cathyshire, WV 12309",354.185.4293x33655,YQ218968,1965-11-17,59,1,3953.13,1,Chavez Inc,72.62,1.13,0,0.28,12,7,0.77,0.23,0.63,232.17,255.32,187.95,15.19,completed,4,1,0.49,0.08,0.02,73.87,0.01,0.35,0.11,0.62,1,101,40,41,17,>90 days,4,0.00980392156862745,0.0392156862745098,0,47.41,0,47,0,0
Julie,Barber,"062 Moore Union, Tracishire, DE 50462",001-498-047-7688,uF176827,1962-11-07,62,1,1106.39,0,Ferrell Group,58.72,5.51,0,0.23,9,4,0.3,0.7,0.29,91.49,243.01,279.48,51.59,3,1,2,0.91,0.32,0.09,41.46,0.13,0.98,0.6,-0.28,1,51,15,8,54,30–90 days,2,0.019230769230769232,0.038461538461538464,1,32.57,2,57,1,0
Dylan,Marshall,"410 Mark Rue Suite 329, Russellshire, VT 52618",(556)387-9192,eD848846,1991-06-11,33,1,-19.51,1,Woods Group,57.46,6.62,0,0.08,3,8,0.8,0.2,0.54,160.85,51.43,234.85,36.21,2,2,1,0.5,0.28,0.04,113.69,0.01,0.75,0.32,-1.0,0,92,65,14,7,>90 days,4,0.010752688172043012,0.043010752688172046,0,25.8,3,50,1,1
Laura,Sherman,"713 Wilson Extension, North Sandra, NJ 55202",211.262.6575x811,Eq059023,1995-12-23,29,1,2672.11,1,Goodwin-Perez,56.25,1.03,0,0.09,18,2,0.27,0.73,0.77,100.87,238.79,268.64,54.89,completed,0,2,0.91,0.38,0.18,16.98,0.14,0.49,0.39,0.27,1,122,67,26,49,>90 days,7,0.008130081300813009,0.056910569105691054,0,35.34,2,20,0,0
Heather,Whitaker,"463 Taylor Pine, Robertsshire, SD 63648",+1-056-522-4378x99416,JW592882,2005-08-25,19,1,3965.4,0,Winters and Sons,114.78,7.85,1,0.08,18,10,0.64,0.36,0.14,114.41,287.47,155.12,54.76,1,1,3,0.46,0.21,0.05,67.2,0.01,0.77,0.42,0.64,0,31,66,9,19,30–90 days,3,0.03125,0.09375,0,42.59,5,59,0,1
Crystal,Prince,"81949 Wesley Loaf Apt. 368, Claytonfort, MA 19193",0909898632,Ik975064,2004-10-27,20,1,3622.21,0,Williams PLC,17.59,8.92,0,0.26,9,3,0.65,0.35,0.69,101.53,197.0,124.59,87.02,2,1,2,0.2,0.89,0.19,66.83,0.01,0.11,0.52,-0.46,0,128,82,10,37,>90 days,10,0.007751937984496124,0.07751937984496124,0,41.86,2,42,1,0
Heidi,Olson,"Unit 3915 Box 2432, DPO AE 62782",+1-260-335-9037x219,fT758775,2006-08-08,18,0,2771.4,0,"Howard, Tran and Erickson",20.53,4.64,0,0.25,3,0,0.52,0.48,0.64,100.44,234.46,234.15,64.95,2,5,1,0.98,0.13,0.01,138.86,0.16,0.12,0.27,-0.96,1,158,81,1,31,>90 days,9,0.006289308176100629,0.05660377358490566,1,15.02,10,19,1,1
Donald,King,"209 Allison Lake, East Cynthiamouth, WV 88740",(214)605-3865x469,dY279527,1973-07-16,51,1,3101.86,1,Gardner-Curtis,137.19,4.35,0,0.59,15,1,0.02,0.98,0.82,237.13,236.31,142.82,50.77,completed,1,3,0.3,0.07,0.01,45.14,0.1,0.75,0.47,-0.88,1,123,59,13,21,>90 days,10,0.008064516129032258,0.08064516129032258,0,47.91,5,55,1,0
Jennifer,Morris,"9075 Davis Lakes, Kathyport, NJ 62204",6163811645,vK982343,1967-02-04,58,1,3020.89,1,West Group,59.48,1.68,0,0.21,5,5,0.78,0.22,0.56,52.62,245.23,194.43,49.64,completed,2,1,0.67,0.26,0.06,165.23,0.06,0.47,0.89,0.42,1,31,34,28,15,30–90 days,3,0.03125,0.09375,0,3.58,0,18,1,0
Sarah,Pearson,"5656 Wendy Shore, South Desireeville, KY 33940",+1-001-208-9611x45203,jU699769,1995-12-29,29,1,2164.86,0,Sanford Inc,182.44,9.62,0,0.46,6,5,0.27,0.73,0.75,143.3,168.51,135.52,10.05,2,1,1,0.17,0.45,0.08,9.95,0.17,0.98,0.79,0.71,1,131,59,31,56,>90 days,5,0.007575757575757576,0.03787878787878788,1,12.48,0,5,1,1
Gabrielle,Clark,"0709 Elizabeth Knoll, Smithview, DC 72523",+1-605-202-9689x6269,qB508845,1964-10-24,60,0,1401.88,0,Novak and Sons,70.12,6.34,0,0.28,19,5,0.91,0.09,0.85,288.44,161.22,293.42,92.09,completed,0,2,0.16,0.48,0.19,45.27,0.13,0.67,0.16,0.13,1,152,83,43,30,>90 days,5,0.006535947712418301,0.032679738562091505,0,38.7,1,27,0,0
Nicole,Garcia,"11681 Krause Rapids, Gallegosland, NC 11416",+1-954-630-5182x082,pe241747,1982-01-07,43,1,2686.94,1,King-Houston,49.97,4.21,1,0.52,12,0,0.85,0.15,0.68,37.67,134.32,18.46,60.3,3,0,1,0.66,0.12,0.03,72.21,0.18,0.99,0.04,0.52,1,141,36,4,24,>90 days,9,0.007042253521126761,0.06338028169014084,1,18.9,8,17,0,1
Mitchell,Kim,"7972 Hunt Locks Apt. 882, Port Katherinefort, ND 65662",242-989-4914x653,LR328577,1975-04-24,50,0,4419.6,1,Thompson-Duffy,30.16,9.56,0,0.52,12,5,0.36,0.64,0.63,79.72,65.56,276.29,16.71,2,1,1,0.51,0.22,0.03,7.45,0.04,0.87,0.28,0.9,1,128,5,2,2,>90 days,3,0.007751937984496124,0.023255813953488372,1,29.29,7,33,1,1
Mary,Juarez,"586 Ryan Motorway, Gillespiechester, LA 74006",455-949-7261x052,VW862517,1966-08-26,58,0,4976.44,1,"Baker, Porter and Ramirez",10.59,7.83,0,0.42,20,5,0.42,0.58,0.72,148.14,154.29,69.36,72.98,1,3,2,0.19,0.33,0.15,38.07,0.01,0.07,0.94,0.01,1,129,65,34,31,>90 days,10,0.007692307692307693,0.07692307692307693,1,20.77,7,52,0,0
Mark,Adams,"0704 Tonya Mountain Suite 492, Odonnellborough, NC 21536",(199)434-5693,Tr384079,1990-07-15,34,0,3436.74,1,Mckinney-Davis,67.35,7.24,0,0.11,19,4,0.28,0.72,0.44,20.9,47.08,232.01,5.0,completed,4,3,0.42,0.52,0.06,175.18,0.05,0.3,0.3,-0.54,1,167,74,36,14,>90 days,1,0.005952380952380952,0.005952380952380952,1,0.57,2,33,1,1
Wendy,Sanchez,"3523 William Fords Suite 715, Maryland, MI 23265",730.191.9461x01562,Wc201206,2006-06-13,18,0,3679.37,0,"Arias, Dean and Thomas",17.4,8.64,0,0.2,19,1,0.18,0.82,0.4,271.56,243.94,295.61,91.74,1,0,3,0.39,0.59,0.21,15.04,0.11,0.71,0.17,0.56,1,107,19,26,44,>90 days,4,0.009259259259259259,0.037037037037037035,1,29.4,8,49,1,0
Denise,Dawson,"USS Young, FPO AP 85593",477.883.8725x0262,Qe624018,1999-08-31,25,0,3650.45,0,"Hawkins, Jones and Campbell",11.46,7.43,0,0.37,17,3,0.93,0.07,0.76,212.19,217.15,143.9,110.91,2,5,3,0.69,0.73,0.32,50.06,0.16,0.2,0.35,-0.33,1,80,22,29,58,30–90 days,9,0.012345679012345678,0.1111111111111111,1,48.94,8,22,1,0
Sarah,Owens,"244 Johnston Flat, South Harrymouth, MS 71739",+1-385-251-9632,pd285154,1991-02-19,34,0,3439.5,0,Reyes LLC,86.64,6.06,1,0.02,9,8,0.73,0.27,0.41,17.31,253.31,13.31,85.93,2,1,2,0.97,0.44,0.09,127.17,0.16,0.55,0.97,-0.9,1,180,26,44,45,>90 days,8,0.0055248618784530384,0.04419889502762431,1,25.49,7,22,1,1
Duane,Burgess,"936 Joseph Streets, Greenton, PA 10664",481-126-1574x62937,bi024500,1965-09-26,59,1,3698.83,1,Huerta-Anderson,68.14,8.2,0,0.14,12,2,0.31,0.69,0.33,262.71,205.08,241.04,33.8,2,0,2,0.62,0.57,0.25,163.19,0.0,0.67,0.05,0.1,0,88,56,41,16,30–90 days,8,0.011235955056179775,0.0898876404494382,0,14.74,3,52,1,0
Stephen,Rose,"23098 Saunders Highway Suite 525, Brewerport, KS 08067",(682)734-1062x493,HY730461,1962-06-30,62,1,1970.63,0,Ramos and Sons,13.78,4.01,0,0.18,4,9,0.43,0.57,0.65,106.41,26.41,118.44,113.61,1,1,0,0.64,0.67,0.24,36.62,0.08,0.75,0.1,-0.44,0,163,29,3,6,>90 days,7,0.006097560975609756,0.042682926829268296,1,14.18,7,6,0,1
Nancy,Davidson,"29609 Ross Burgs Apt. 244, Lake James, DE 12301",(467)154-1069,tI961445,2002-03-30,23,0,3343.79,1,Garcia PLC,48.14,5.67,0,0.56,16,7,0.35,0.65,0.42,86.64,69.55,150.08,35.88,1,2,2,0.29,0.66,0.32,109.05,0.02,0.08,0.95,-0.41,1,165,7,58,49,>90 days,2,0.006024096385542169,0.012048192771084338,0,5.06,8,47,0,0
Brittany,Davis,"77807 Maria Glen, New Tammy, NY 35652",(851)568-3377x790,Ok014694,1967-09-15,57,0,4673.45,1,Galloway Inc,121.96,3.41,0,0.34,6,0,0.27,0.73,0.58,261.17,284.55,40.71,22.81,3,3,1,0.94,0.74,0.34,37.27,0.12,0.7,0.68,-0.18,1,9,1,19,36,7–30 days,10,0.1,1.0,0,1.26,5,18,1,0
Kevin,Alvarez,"587 Benson Mountain Apt. 366, Wendyburgh, MS 29206",(341)366-2856,MN988242,1969-04-23,56,1,1468.89,0,"Turner, Stanley and Reed",72.68,9.62,0,0.18,17,7,0.1,0.9,0.11,135.74,36.86,227.03,110.17,2,1,0,0.43,0.26,0.07,130.5,0.0,0.59,0.61,0.28,1,41,58,41,16,30–90 days,3,0.023809523809523808,0.07142857142857142,0,12.48,5,50,1,0
Christopher,Walker,"71166 Gomez Light, Lake Angela, IL 28378",+1-342-703-3447,bn569974,1983-07-21,41,0,2497.03,0,Allen-Lopez,60.91,8.9,0,0.23,20,10,0.46,0.54,0.69,185.95,205.13,33.53,114.42,3,3,2,0.84,0.81,0.35,167.96,0.11,0.2,0.62,0.49,0,102,85,6,11,>90 days,3,0.009708737864077669,0.02912621359223301,1,37.03,5,59,0,1
Heather,Lewis,"PSC 7794, Box 6034, APO AE 41944",(862)598-2540x660,Pk774252,1986-09-30,38,1,2236.71,0,"Baker, Green and Ochoa",51.48,9.29,0,0.05,15,4,0.67,0.33,0.73,141.76,192.77,82.03,86.13,2,2,0,0.43,0.44,0.16,168.59,0.01,0.82,0.29,-0.11,1,167,46,44,15,>90 days,1,0.005952380952380952,0.005952380952380952,0,1.58,7,19,0,1
